content,score,,,,,,
Bagus bgt,5,,,,,,
lope lope mana anjeng,1,,,,,,
Oke good,2,,,,,,
Iya Apa,1,,,,,,
Baguss,3,,,,,,
Awesome,5,,,,,,
WhatsApp saya tidak di perbarui,2,,,,,,
"setelah pembaruan stori malah jadi jelek, bagusan yg lama, kembalikan seperti yg sebelum nya",3,,,,,,
Johhh,5,,,,,,
Sangat baik,1,,,,,,
Wa sering eror gua mau blok nomer org aj kgk bs kebuka mulu pdhl kgk gua pencet buat buka! Perbaiki tolong WA ngeri kyk di deketin org obses,3,,,,,,
Sangat baik,5,,,,,,
Lebih keren,5,,,,,,
Ok,5,,,,,,
Sangat membantu pengguna,5,,,,,,
Belum bisa like story,4,,,,,,
Sngt bagus,5,,,,,,
Engga bisa di Upgrade,2,,,,,,
Cool,5,,,,,,
Seru,5,,,,,,
good,5,,,,,,
Mantap,5,,,,,,
Cocok untuk calling,1,,,,,,
Bagus,4,,,,,,
Apk Apa Ini Masa Dah Gua Download Gk Ada Yg Ngechat,1,,,,,,
Kurang baik tidak bisa buat pesan suara,1,,,,,,
Good,5,,,,,,
"the new look off the statuses was really bad, make people lazier to see other people statuses, too much scrolling and back, please bring back the old look, bcs some people look the status by the name not by the preview.",1,,,,,,
Cantik banget kalau udah punya WA mah,5,,,,,,
🔰,5,,,,,,
Bnr ga sh,5,,,,,,
p doang,5,,,,,,
"yg lain dapet update an like sw, aku kok engga ya?",2,,,,,,
"Tolong buatin fitur kalo pas chat cewek langsung di bales doang,soalnya kalo ngechat cewek gak pernah di bales",1,,,,,,
Nur restiwati,5,,,,,,
"Sangat baik untuk komunikasi dengan sodara, orang tua dan teman",5,,,,,,
Mantap,5,,,,,,
Ok,5,,,,,,
WhatsPp,5,,,,,,
Sangat membantu,5,,,,,,
Wa bug wa bug,2,,,,,,
"semenjak update terbaru ini, WhatsApp jadi kek makin gk bagus,,ada beberapa contoh menurut saya,,1. akun WhatsApp saya hampir sering kena BANNED padahal saya tidak melanggar hukum dn pihak WhatsApp nya ""beralasan"" maaf akun anda tidak sengaja ditandai/kena BANNED blabla what the hell bro,,2.ketika mau vidio call (VC) nada dering nya tolong jangan dibikin kek otomatis besar volume nya dulu tidak seperti ini dan ini sangat tidak nyaman",2,,,,,,
Kenapa ya WhatsApp saya kena spam terus mohon bantuannya,1,,,,,,
aneh nya baru beberapa menit di verifikasi masa udh di sepam lagi kan aneh.tiap hari kaya batu terus,1,,,,,,
Sayangnya Whatsapp telah berhenti,1,,,,,,
Tidak bisa di update,1,,,,,,
Mantap,4,,,,,,
Sangat bagus,5,,,,,,
Mantap iso golek konco,5,,,,,,
APAAN BANGET YA INI APK MAIN RISET RISET AJA BISA SABAR GA UDAH ITU JGA SAYA HAPUSIN POTO JANGAN LGSG RISET SKRG GMNA BALIKIN NYAA?? KASIH TUTOR GA? ATAU KANTOR ADMINNYA DIDATANGIN SMA YG LONCAT LONCAT??!!!,2,,,,,,
"Video dan foto di status sekarang jadi buram dan jelek kualitas nya pdhl saat di posting kualitas sangat bagus dan HD, stelah diposting menjadi buram",2,,,,,,
Baik,5,,,,,,
gak ada yang ngechat,5,,,,,,
bagus,4,,,,,,
"wa versi sekarang kurang stabil untuk telvon atau vc, gak jelas dan sering gangguan pdhal sinyal stabil..",2,,,,,,
Knpa yang aku gak bisa di updet biar ada pitur like storyy nya ya😮‍💨😮‍💨,3,,,,,,
Siuuuuu,5,,,,,,
Wa eror,5,,,,,,
Tidak ada fitur like di status WA padahal sudah di update berkali kali,5,,,,,,
Kenapa gak bisa dildod wasaap,5,,,,,,
Wa membatu semua krjaan,5,,,,,,
Tolong ya admin whatsapp nomor saya dibuka kembali akunya soalnya sangat penting whastapp bagi saya...kenapa saya selalu kena spam??padahal saya tidak melakukan apapun...tolong hilangkan spam/pemblokiran akun sementara nya...semua kerjaan saya jadi berantakan karna adanya spam/pemblokiran sementara...aplikasi whatsapp ini sangat membantu saya dalam bekerja...kalo terus kena spam begini gimana kerjaan saya...terima kasih,5,,,,,,
Ok,5,,,,,,
Good,5,,,,,,
Suka mntp,5,,,,,,
ada yg sama g si ngalami klau vc di kamera hp kita bagus tpi di kamera yg kita vc jd buram parah,1,,,,,,
Whatsapp sekarang ga jelas tiba tiba nama kontak selalu hilang,2,,,,,,
"Semakin ketat padahal pribadi dan privasi, saya tidak dapat masuk wa lagi",1,,,,,,
Apk tolol emoji apa jadi nya apa,1,,,,,,
Baik,5,,,,,,
Ini kenapa dah udah download versi asli muncul nya pas login ga bisa masuk harus download lagi gimana sih tolol,1,,,,,,
Bagus,5,,,,,,
😊😊😊😊😊,5,,,,,,
Bagus tapi saya ga bisa naro akun ke wa,5,,,,,,
Buat vois not gk bisa sih payah nih WhatsApp,5,,,,,,
Bgus,5,,,,,,
Saya tidak bisa update aplikasi ini padahal harus nya ada update nya ini tidak ada tombol update,4,,,,,,
"Kenapa wa saya tadi siang kena spam. Tolong kembalikan data"" wa saya.",3,,,,,,
Ok,5,,,,,,
"Sring ngeleg, n makin g jls wa skr ad TLP msuk tp gda dering tau² ad notif doang kan lucu, n ngirim gambar tau video skr susah bgt",3,,,,,,
Mantap,1,,,,,,
okelah,5,,,,,,
Click,5,,,,,,
Politik,5,,,,,,
apk nya sudah bagus buat story juga lebih lama tetapi kulaitas vidio story masih kurang jernih mungkin bisa di update dan kalau bikin story bisa ditambah music,4,,,,,,
Ok,3,,,,,,
"P, admin gimana sih? ini error atau gimana? kok setiap kali mau hapus chat yg dipilih gabisa? pdhl udah di tab lama lohh, udh update juga ayo dong perbaiki aku juga butuh fitur² terbaru tapi jangan gini juga☹️sedih loh😓",3,,,,,,
Bgus,5,,,,,,
Engga sayang,1,,,,,,
Sw burik,5,,,,,,
Fitur like status tidak muncul,5,,,,,,
Semua orang menggunakan whatsapp sekarang 👍,5,,,,,,
Kasih saran plis aku ga bisa download WhatsApp 😭 kalo udah 100% tulisannya anda tidak bisa menginstal WhatsApp plis 🙏,5,,,,,,
Baik sangat la,5,,,,,,
Bgusss,5,,,,,,
Waktu pembaruan status tidak beraturan tdk enak di lihat mohon diperbaiki,1,,,,,,
Hay whatsapp mohon untuk mengembalikan whatsapp saya untuk bisa dipergunakan karena hal ini menyangkut ha-hal yang harus dikerjakan disana sekali lagi minta bantuanya karena saya tidak tau hp saya dipergunakan oleh orang yang tidak bertanggung jawab terimkasih🙏🏻,4,,,,,,
Sangat membantu,3,,,,,,
Good bagus,5,,,,,,
sensi sekli wa nya bru pake chat udh keban di kuatin wanya,1,,,,,,
Halo.saya ganti hp baru.tp kontak whatsnya tdk masuk.padahal saya cadangkan.,5,,,,,,
ko saya baru update tanggal 13 september 2024 ini masi blom ada fitur like story yaaaa atau fitur yg lainnya,5,,,,,,
Bagus,5,,,,,,
"semakin upgrade semakin tidak nyaman di pakai. fitur semakin minus. Semakin busuk,...lihat story2 orang tidak nyaman sama sekali..👎🏿 semakin sangat busuk sekali",1,,,,,,
Jelek skli terlalu sensi,1,,,,,,
Mambantu,5,,,,,,
Cocok,5,,,,,,
"Whatsapp apa ini,gkbisa d update",2,,,,,,
suka ter belokir berkali kali padahal kaga sengaja,1,,,,,,
"Malah tambah pusing whatsap skrang Bukanya simple , mlah ribet",5,,,,,,
Cmn ga bisa daftar,5,,,,,,
🤩🤩🤩,5,,,,,,
WhatsApp ini tidak bisa untuk menambahkan orang ke grub dengan jumlah 100 orang dan kalau mau masukan ke grub itu grub nya ke ban,1,,,,,,
"Good aplikasi, update lagi fitur baru",5,,,,,,
Kenapa wa saya bisa ke hapus sendiri,2,,,,,,
Baru mengunakan kasih bintang 4 flu,4,,,,,,
Bagus banget,5,,,,,,
Sangat bagus,5,,,,,,
Nggak ada notifikasi chat males sama app ini,1,,,,,,
Baik di gunakan,5,,,,,,
Sangat baik,5,,,,,,
Top,5,,,,,,
"Udh paling update tapi ttp ngak bisa upload story 1 menit. Sedang yg lain pada bisa, ini gimana ini? Ngak konsisten",2,,,,,,
With canggih,1,,,,,,
"Kenapa tampilan story jadi seperti reels? Ribet, jadi tidak tau ada berapa stori yang mereka unggah",1,,,,,,
di WhatsApp saya tidak ada tombol like,1,,,,,,
Sangat puas menggunakan ny,5,,,,,,
Gima ni samsung di update mulu tiap upload status burem pecah gak jelas,5,,,,,,
Sangat membantu dalam komunikasi,5,,,,,,
Mantap,5,,,,,,
Whatsapp jaya,5,,,,,,
Watsap saya kena spam,5,,,,,,
Aplikasih wa ini lebih ke sini lebih bagus semoga nanti ny lebih bagus,5,,,,,,
Ok,3,,,,,,
tp di aku blm ada fitur like story wa huhuhu,5,,,,,,
uda diupdate tampilan ga brubah samsek,5,,,,,,
bagus,5,,,,,,
Memperbarui wa,5,,,,,,
Terbaik,5,,,,,,
Sanga membantu,1,,,,,,
"wa blm bs diupdate , blm dpt update like story ky yang lain , pdhl device mampu , tp ga kebagian update buruk deh ga adil bgt",1,,,,,,
not good,5,,,,,,
"wa sekarang ngk enak banget buat story aja burem pdhl hd,ngirim maps live ngk ada tempat2 jalan nya,gimana haduh,lebih baik wa dulu timbang sekarang banyak fitur2 aneh",1,,,,,,
Bagus,4,,,,,,
Fitur terbodoh/yg membingungkan knp klo mau hapus data di persulit... Hapus data bukan berarti mau hapus no ya dari tadi mau memulihkan chat saja ribet bgt ini aplikasi emg ada beberapa HP yg mudah tpi untuk model hp² sekarang itu sulit saya sampe instal ulang aplikasi 10x cuma karna mau mulihkan chat anj taee lah sama karna salah pencet pemulihan email jdi permanen anj anj baby,2,,,,,,
Pengaktifan Akun Whatsaap,5,,,,,,
"tidak sedang berada dipanggilan lain tapi di vc memanggil, dichat centang 2",1,,,,,,
Belum tahu cuma bisa meraba-raba,4,,,,,,
anying aplikasi teh eweh NU nga Chet hiji hiji Acan Komo awewe,2,,,,,,
Baik,4,,,,,,
Keren,5,,,,,,
Ok,5,,,,,,
Mantap,5,,,,,,
"Org org pada bisa nge like sw, aku kok gak bisa, mohon perbaiki WA ku",1,,,,,,
Sangat membantu,5,,,,,,
Baik,5,,,,,,
habis di-update kok ga berubah?? masih sama aja kaya sebelumnya. mohon bantuan nya,3,,,,,,
Pokoke keren dan mantab,5,,,,,,
"temen ku buat status, trs nama kontak nya ta ganti, pas udh selesai ganti kok status nya langsung hilang, mohon diperbaiki lagi🙏",2,,,,,,
"semoga kedepan nya ada fitur sorotan kaya di instagram,tapi ini versi di whatsapp nya emm",4,,,,,,
Cuma bagus sih ta status gw gk bisa ubah,4,,,,,,
bAgUs bAnGeT aKu sUkA🗿,5,,,,,,
Dengan adanya whatsaap membantu saya berkirim pesan dengan mudah,5,,,,,,
Bagus sekali,5,,,,,,
"udah bagus, tapi saran dong ui/tampilan wa android dimiripin sama ui/tampilan wa ip, saya kalo buka wa andoid rada gimana gitu 🙏",2,,,,,,
Sangat membantu,5,,,,,,
Bagus sekali,5,,,,,,
Kenapa kalo story temen kalo udah di liat sekali gak bisa di liat lagi,3,,,,,,
oke,1,,,,,,
Nihh gimana yaa kok punya saya ngga ada love nyaa di story nya??,1,,,,,,
woi telpon mati sendiri,1,,,,,,
jujurr lii bagus tapi kok di akuu ngggaa ada like story YAAAA 😢 dear WhatsApp kenapaa ituu terjadii mogaa di baless yaaaa akuu juga pengen bisa like story temenn akuuuu,5,,,,,,
Kenapa tidak bs update ke wa yg bs like status ya,4,,,,,,
"Akun whatsApp saya tidak bisa di tampilkan di hand phone, tolong dong solusi nya gimana agar whatApp bisa terpasang di hand phone saya. Saya suda donlwod lewat play store, tapi tidak dapat terpasang di hand phone saya. Mohon bantuannya, terimah kasih. Km",5,,,,,,
Oke,5,,,,,,
(SIP MANTAP 👍🙏),5,,,,,,
"Tolong min saya kurir paket kena spam mulu, susah ngirim paketnya min",1,,,,,,
Bagus,5,,,,,,
sebenarnya aplikasi WhatsApp sekarang makin sering di update sering bayak bug nya tolong di perbaiki lagi kepada admin WhatsApp soalnya penting banget karena untuk melihat status sosial saya tolonglah di mengertiin lagi nanti saya kasih bintang 5 kalau benar ok please 🙏🙏👍😔😔🙂,1,,,,,,
Sangat bagus,5,,,,,,
Saya nyaman dengan menggunakan Aplikasi WhatsApp imi,5,,,,,,
Wa,5,,,,,,
Ok,5,,,,,,
Mantabb,5,,,,,,
Saya sangat suka aplikasi ini,3,,,,,,
Ini bagus banget saya suka banget 😊❤❤,5,,,,,,
Good aplikasi,5,,,,,,
Watshap GK bisa,5,,,,,,
"Tiap kali upload Vidio story selalu pecah ,jadi agak blur dan itu bikin terganggu , apalagi klo temen buat story dengan kata2 kadang kaga bisa di baca karena pecah",4,,,,,,
Sangat terbantu,5,,,,,,
Apk yang lumayan minus nya cuman bisa di spam+kenon in sama orang lain/pihak WhatsApp nya sendiri,4,,,,,,
Spam,5,,,,,,
Mantap,5,,,,,,
hallo WhatsApp kok like di wa aku gaada ya padahal sudah update,5,,,,,,
Alhamdulillah,5,,,,,,
"bagus banget, bisa chat dengan teman, dan juga bisa membuat status, dan juga bisa mengedit foto dengan baik 👍😊",5,,,,,,
sangat membantu,5,,,,,,
Sangatt sangatt baguss😈,5,,,,,,
Musik,5,,,,,,
"aku kasih 4 soalnya walaupun aku & dia sama2 punya wa, KITA GK BS CHATTINGAN (gakenal soalnya)... WA plis aku memohon yah tolong adain fitur hapus chat yang udh lama di saluran PLISSSS NANTI AKU KASIH 5 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",4,,,,,,
Ok,5,,,,,,
apasih telponan sekarang selalu bermasalah,3,,,,,,
Apl tak dapat di gunakan,5,,,,,,
Apik,5,,,,,,
"Saya mau buat akun whatsapp tapi muncul tulisan untuk ""memverifikasi secara otomatis dengan panggilan tak terjawab di telepon anda"" dan gak bisa di pencet tapi saya buka apk lain bisa di pencet tolong di perbaiki.",3,,,,,,
Kenapa sekarang wa tidak privasi kenapa ada bagi layar segala ini kan privasi kita kenapa harus semua orang tau,1,,,,,,
Aplikasi nya sangat bot,5,,,,,,
punya saya knp blm bisa ngelov,2,,,,,,
Sangat membantu,5,,,,,,
Good,5,,,,,,
Saya Sudah memakai w.a resmi tapi tidak bisa login padahal saya sudah download berkali kali tolong diperbaiki,1,,,,,,
Mantap,5,,,,,,
Di update buat ngirim foto + video jadi lama pol,1,,,,,,
Smartfren hebat bagus,5,,,,,,
koo punya sayaa maa telatt muluu updatenya,4,,,,,,
Kmu nnya,5,,,,,,
oke,5,,,,,,
Oppo A57,1,,,,,,
bagus.,5,,,,,,
Sangat membantu untuk komunikasi,5,,,,,,
Makin kesini makin gajelas wa nya? Udah nyaman di versi kemarin kemarin malah gajelas perbarui statusnya,1,,,,,,
Ok,5,,,,,,
Bagus apknya cuman anehnya saya mau cek kontak..asalnya ada 138kontak pas barusan saya cek..tiba tiba ada 118kontak.. mohon diperbaiki lagi apknya ya.. 🙏🏻 Nanti saya kasih bintang 5 Ok segitu aja tolong diperbaiki lagi,4,,,,,,
Akun saya sudah sering sekali di spam,3,,,,,,
Oke,5,,,,,,
Ganti fitur yang sekarang saat video call kamera depann malah jadi buram.. Semoga kedepannya segera diperbaiki lagi,3,,,,,,
Ajib,5,,,,,,
Bagus,5,,,,,,
bagus,5,,,,,,
WhatsApp ini Bagus sekali terima kasih,5,,,,,,
Kenapa saya tidak bisa melihat statuss,5,,,,,,
Sudah di update tapi masih versi yang lama kenapa gini??,2,,,,,,
Knp wa saya tidak ada pembaruan seperti wa yang lain?,3,,,,,,
Karena ada chat pribadi sama group nya,5,,,,,,
Lumayan baik,5,,,,,,
Tak kening,3,,,,,,
"WhatsApp ga jelas ,masa orang lagi tlp tiba2 WhatsApp terblokir,ga jelas ,saya lagi telepon temen saya tiba2 akun saya di blokir",1,,,,,,
Bagus sekali,5,,,,,,
Pikk,5,,,,,,
Membantu,4,,,,,,
"tolong perbaiki lagi sistem pemblokiran, nambah anggota grup saja langsung terindikasi spam dan langsung diblokir !",2,,,,,,
Bagus,5,,,,,,
Lebih nyaman,3,,,,,,
fery god,5,,,,,,
Keluhan download wa resmi,1,,,,,,
Bintang 5,5,,,,,,
Minta bantuan nya kj,5,,,,,,
Ko di udet mkn jlk,1,,,,,,
WA NYA GAJELAS LEMOT BGT GILAAAA,1,,,,,,
"Hari hari nt mulu hidup gua,hanya jadi badut Untuk mu anyink",5,,,,,,
"Bagus sih,tapi lebih di perbarui aja ya",4,,,,,,
Sebenarnya ini kenapa hp tidak bisa untuk what sapp? Apakah hp ku tidak resmi?,5,,,,,,
Terima kasih wahtsp,5,,,,,,
WhatsApp sekarang sudah aneh baru ganti nomor lama ke nomor baru nelpon aja keban apalah mohon kerja sama nya agar WhatsApp tidak seperti ini,2,,,,,,
Aplikasi bagus jadi ku kasi lima ⭐⭐⭐⭐⭐,5,,,,,,
Mengapa saat saya masukan nomer saya oh selalu ada balasan wahatsapp anda tidak resmi Ok,5,,,,,,
saya suka,5,,,,,,
Mantap,5,,,,,,
semoga wa yg sudah di updat tidak ada kontak yg hilang,5,,,,,,
Mantap surantap,5,,,,,,
Admin Akun saya tidak lagi bisa menggunakan WhatsApp tolong di pulihkan lagi. Terimakasih,5,,,,,,
Cukuplah,5,,,,,,
membantu,5,,,,,,
Washap vidio call. Putus terus,4,,,,,,
Punya saya blm ada fitur like story wa nya 👎👎,3,,,,,,
Bagus sekali,1,,,,,,
Mantap sagat membatu,5,,,,,,
Perasaan saya wa makin lamaa makin ngak adil aja masak orang lain sudah dapt vitur like story sedangkan gw ngak ada dapat satupun dari semua itu,1,,,,,,
Bagus,5,,,,,,
Meitriastuti,5,,,,,,
"Kok udah di update malah semakin buruk, saya tidak bisa mengirim video atau upload video ke story, mohon di perbaiki, saya merasa tidak nyaman sebagai pengguna",1,,,,,,
Adain fitur yang bisa lihat siapa aja yang mengikuti saluran dan siapa aja yang keluar dari saluran,3,,,,,,
udah di update masih ga bisa like story padahal pgn nge like story doi,1,,,,,,
keren👍,5,,,,,,
terimakasih watsapp ❤❤❤❤💯,5,,,,,,
bagus banget,5,,,,,,
Ngirim vidio sama foto sering gagal padahal jaringan bagus,1,,,,,,
Bagus,5,,,,,,
untuk admin tolong hapus mode sekali lihat karena sangat menggangu.,1,,,,,,
"saya mau update wa ny kok lama banget padahal jaringan ny full,biasanya cepet tpi sekarang hampir 2 jam saya menunggu tolong ya di permudah kan lgi untuk sementara bintang satu dulu sampai semuany lebih mudah lgi terima kasih.",1,,,,,,
updet mulu beras,5,,,,,,
Tidak bisa masuk karena selalu memita app yang asli padahal saya selalu menggunakan app wa yang asli,1,,,,,,
Babih,5,,,,,,
"hallo depeloper whatsap yang terhormat, saya ingin mengetahui kenapa akun whatsap saya kalo masuk group tiba tiba suka kena ban, padal saya tidak melakukan spam, terimakasih depeloper whatsap yang terhormat",3,,,,,,
Makin sini makin jelek benerin kualitas status vt hd jdi burik kan tolol ngapain update klo makin ancur,1,,,,,,
Bagus apdete nya dan sekarang ada like nya dan sekarang telpon makin canggih kalo saya mau telpon kayak ada yang ngangkat dan padahal ga ada yang ngangkat telpon sekian itu saja penjelasan dari saya kasih ret 90/ 10 ya WhatsApp karna makin canggih sekarang apdete nya sekian terimakasih dan terimakasih banyak 🥰🥰☺️☺️,5,,,,,,
"aplikasinya keren, setiap hari saya mendapatkan pap dari para wanita2 cantik,imut dan menggemaskan",5,,,,,,
"GW GA SUKA AMA UPDATE AN SEKARANG MASA NO BARU BELI UDAK KE KENON PERMANEN HADEH BUAT RUGI SAJA, KADANG GA ADA APA APA TIBA TIBA AJA KE KENON SPAM ABIS KEBUKA KE KENON LAGI PADAHAL GA DI APA APAIN",1,,,,,,
mantap,5,,,,,,
Hanya sekedar menanyakan bagaimana cara memakai nomor WhatsApp orang lain. Semoga di jawab ya 🙏🙏,5,,,,,,
Knp yg akun sy ditangguh kan padahal hanya membuat sebuah saluran dan saya tidak merugikan pihak mana pun,4,,,,,,
Tolong dong tambahin fitur tambah musik pak developer☺️,5,,,,,,
bagus,5,,,,,,
Siip,4,,,,,,
Agak lemot,3,,,,,,
Kalau bisa mah status WhatsApp itu bisa di edit,4,,,,,,
Ok,5,,,,,,
Pengen update tema yang lebih menarik,3,,,,,,
Makasih,5,,,,,,
Whatsapp gratis nya tolong di perpanjang.,4,,,,,,
Buka spam,5,,,,,,
"Saya sbnernya suka banget make aplikasi ini, tpi semenjak update, perubahan-perubahan yang ada membuat saya tidak suka. Contohnya ketika kita menelepon vc seseorang dulu ada pemberitahuan jika dia sedang menelepon dengan orang lain. ""sedang berada di panggilan lain"" Bgitulah kalimatnya. Setelah saya update pemberitahuan itu hilang, yg kita telpon tidak berdering maupun tidak ada pemberitahuan sperti sebelumnya. Mohon di kembalikan lgi atau lbih baik lgi🙏",4,,,,,,
"mantap,dan bagus banget😁😏😌☝",5,,,,,,
Mantap,5,,,,,,
"gimana caranyaa update, padahal udah di update tapi ga nongol fiturr barunya",5,,,,,,
tidak bisa untuk ngelike story wa,5,,,,,,
aku pengin bgttt ada like nyaa,5,,,,,,
Karena bagus bisa untuk di pake Vicoll telepon,5,,,,,,
Menyatukan persaudaraan seluruh dunia,5,,,,,,
Sumpil blum bisa di update tempat aku,1,,,,,,
Bagus,5,,,,,,
Sangat bagus,5,,,,,,
Sangat bagus,5,,,,,,
bagus,1,,,,,,
terbaik,5,,,,,,
kamera wa nya gelap kalo malam,1,,,,,,
Sangat bagus👍,5,,,,,,
Keren sekali,5,,,,,,
"Aku kasih 5 bintang karena saya sangat suka fitur""nya dan semoga ditambahkan lagi fitur filter nya dengan berbagai fitur akan terlihat semakin bagus",5,,,,,,
Wa. Mntep,5,,,,,,
Woiiii hapus tuh fitur sekali lihat!!!!,4,,,,,,
Ok,5,,,,,,
Keren,5,,,,,,
Whatsapp nggak jelas nggak bisa masuk nomernya padahal download di playsotore,1,,,,,,
"Bagus,tpi sayang gk bisa di perbarui",5,,,,,,
Suka bnget,4,,,,,,
ga ada tombol like. ga adil,1,,,,,,
Lumayan bagus,4,,,,,,
Aplikasi ini bagus,5,,,,,,
👍,5,,,,,,
Banyak bu,5,,,,,,
okeee,5,,,,,,
Biasa aja,3,,,,,,
Sangat memuaskan,4,,,,,,
karena bagusss updet nya,5,,,,,,
Whatsap saya kena kok bisa bisanya ngak terbuka !!! Seingat aku tidak ada melakukan apapun diwhatsap kenapa whatsap saya belakangan ini terus menerus ngak bisa dibuka !!!! TTOLONG PARTISIFASINYA !! MAKASIH ADMIN !!!!,1,,,,,,
Bagus,5,,,,,,
Aplikasinya sangat bagus untuk d gunakan berinteraksi sama teman teman,5,,,,,,
Baik,5,,,,,,
Kok gk bisa diperbarui,5,,,,,,
Status wa jelek bagusan yg dulu,2,,,,,,
"Saya tidak bisa memverifikasi akun whatsapp saya dengan kode yg di kirim ke no saya , , dan panggil saya pun tidak terhubung , , bagai mana solosi nya , , bisa gak no saya diaktipkan secara otomatis",4,,,,,,
Untuk buka setatus gak bisa,5,,,,,,
Mantap dan perbanyak fiturnya lagi 👍👍👍👍,5,,,,,,
Udh di update gk muncul fitur like,1,,,,,,
💥💥💥💥💥❤❤❤❤,5,,,,,,
Kecewa karena sering di spam,1,,,,,,
ko saya nda ada like status nya ya,3,,,,,,
Kok sekarang download wa susah,5,,,,,,
Solusi whatsapp baru saya buat selalu di blokir dengan alasan spam chat padahal whatsapp baru,1,,,,,,
Bagus,5,,,,,,
Senang sekali,5,,,,,,
Terbaik,4,,,,,,
"Gak asik statusnya jadi nyamping , tambahan featur nya juga gak penting2.",2,,,,,,
Saya ingin menggunakan whatsap,5,,,,,,
Bagaimana caranya agarpoto propil wa kitatidak bisa di ambil orang makasih,5,,,,,,
"Upload Gambar Lama mesti berulang ulang di coba, setelah update tadi",4,,,,,,
"Saya kecewa dengan WhatsApp tidakk bisaaa ceklist 5 ,pliss tolong min ,entar maa update lagii jadii bisaa ceklis 5",3,,,,,,
Por que o WhatsApp está sempre desativado mesmo tendo acabado de se recuperar?,2,,,,,,
TAIK YA CHTAN NYA TBTB BGT KEHAPUS KENAPA SI JIRR BALIKIN ULANG GAK CHTAN NYA👊👊👊,1,,,,,,
Di aku belum ada like story' wa di update juga belum bisa 🙏🏻,2,,,,,,
Bagus untuk berkomunikasi bersama teman.. Tapi aku mau nanya knp teman ku pada bisa ngasih love hijau dan saya gak bisa jika melihat story orang dan tidak bisa di love hijau kan,5,,,,,,
Kenapa di saya blm muncul fitur-fitur terbarunya,3,,,,,,
Pantas diberi like,5,,,,,,
Ok,5,,,,,,
Saya suka,5,,,,,,
walau pun udh update tp ttp aja jam pembaruan SW nya ngawur...gak ber urutan👎👎👎,1,,,,,,
Aplikasi ini sangat menyenangkan bagi saya,5,,,,,,
makasihhh whatsapp,5,,,,,,
Bagus,5,,,,,,
Semakin slebww,5,,,,,,
Kenapa tidak Adak fitur like,1,,,,,,
Biar bintang yg menujukan,5,,,,,,
Apa ajah,5,,,,,,
"Semenjak di update, upload status udah ga bisa pake cara teruskan video hd dulu, parah ke kompres nya, low resolution banget 😞",1,,,,,,
Alhamdulillah bisa kembali whatsap aku,5,,,,,,
3 Pp28,5,,,,,,
aplikasi yang selalu dibutuhkan setiap waktu,5,,,,,,
"Tolong bantu, kenapa wa saya di tangguhkan Akun wa saya bukan akun penipuan",4,,,,,,
Saya kecewa akun saya tiba tiba keluar dan saat daftar ulang di kasih pemberi tahuan bahwa di perlukan whatsapp resmi,4,,,,,,
tolong perbarui untuk menghapus log panggilan kalau bisa langsung semua bisa kehapus agar tidak mengklik satu satu untuk menghapus,3,,,,,,
Mantap,5,,,,,,
RiniAlay,5,,,,,,
Kenapa wa saya suka ngebug di bagian setatusnya ya kaya suka keluar sendiri keyboardnya soli donh,4,,,,,,
WhatsApp Jadi Adain Live,4,,,,,,
Lah ? Kenapa nih tiba2 keluar sendiri lalu di klik ga bisa ?,1,,,,,,
Bagus,5,,,,,,
jelekkkk bgt tempat story wa mlh jdi kaya fb tdk like👎🏻,1,,,,,,
baik,5,,,,,,
Sangat bagus,5,,,,,,
"Setelah update koq utk fitur story WA gak muncul utk like nya yaa... koq gak bisa, tolong donk diperbaiki..",2,,,,,,
"W a sangat membantu,baik dalam usaha maupun hubungan pertemanan d persaudaraan.",5,,,,,,
Johan,5,,,,,,
Kami sangat senang senang sekali,5,,,,,,
"Kenapa saya di blokir saya tidak pernah melakukan spam atau apapun tolong dibantu admin karna wa itu banyak isi tugas kuliah saya,tolong admin watshap saya tidak pernah melakukan spam 🙏🙏🙏🙏🙏🙏",3,,,,,,
Sand Riska,5,,,,,,
Minus gak ada yang chat,1,,,,,,
ok,5,,,,,,
Sangat bagus,5,,,,,,
Saya suka,5,,,,,,
"Dua bintang dulu, WhatsApp sekarang engga bisa nyimpan foto profil.",5,,,,,,
"Whatsapp ini cukup berguna bagi saya, tapi hanya untuk hiburan dan untuk yang lain nya. Fitur nya bertambah bagus ya dan warnanya mencolok saya beri nilai 9,9/100",4,,,,,,
Kenapa nomor saya di blokir? Tolong pihak WhatsApp bebaskan akun saya dari pemblokiran ini🙏,1,,,,,,
"Setelah update sering lag kalo nelpon, semakin update semakin jelek",1,,,,,,
Kecewa karna selalu di spam whatsap saya padahal sya tdk melakukan kesalahan apa2... Tolong kembalikan whatsapp saya seperti semula karna ada data2 yg sangat penting truma kasihhh,3,,,,,,
Cakep,5,,,,,,
Mhon bantuan nya whatsapp sya bisa di buka,1,,,,,,
Tasbih Abylis,5,,,,,,
Sangat mmbntu,5,,,,,,
Di story wa sekarang suka blur bhkan kdng gk kelihatan siapa yg udah nontonnn balikin wa yg duluuu,1,,,,,,
😊😊 membantu sekali,5,,,,,,
fitur like story aku belum ada pilih kasih bgt,3,,,,,,
(Punya kamu sendiri,5,,,,,,
sangat membantu,5,,,,,,
Sngat bguss,5,,,,,,
